Идентификатор вида документа	 Наименование вида документа
DK00000030	 Поручение (перечень поручений) Председателя Правительства Российской Федерации, Заместителя Председателя Правительства Российской Федерации по итогам встреч, поездок
DK00000031	 Поручение (перечень поручений) Президента Российской Федерации
DK00000032	 Постановление Государственной Думы Федерального Собрания Российской Федерации
DK00000033	 Постановление Конституционного Суда Российской Федерации
DK00000034	 Постановление Правительства Российской Федерации
DK00000035	 Постановление Совета Федерации Федерального собрания Российской Федерации
DK00000036	 Представление Счетной палаты Российской Федерации
DK00000037	 Проект ведомственного акта, акта субъекта Российской Федерации 
DK00000038	 Проект доклада (отчета, заключения, справки) Председателю Правительства Российской Федерации
DK00000039	 Проект доклада (отчета, заключения, справки) Президенту Российской Федерации
DK00000040	 Проект официального отзыва на проект федеральных конституционных законов, федеральных законов (кодексов) Российской Федерации
DK00000041	 Проект поправок к проекту федеральных конституционных законов, федеральных законов (кодексов) Российской Федерации
DK00000042	 Проект постановления Правительства Российской Федерации
DK00000043	 Проект протокольного решения к заседанию Правительства Российской Федерации
DK00000044	 Проект распоряжения Правительства Российской Федерации
DK00000045	 Проект распоряжения Президента Российской Федерации
DK00000046	 Проект указа Президента Российской Федерации
DK00000047	 Проект заключения на проект федеральных конституционных законов, федеральных законов (кодексов) Российской Федерации
DK00000048	 Проект федеральных конституционных законов, федеральных законов (кодексов) Российской Федерации
DK00000049	 Протокол (выписка из протокола) заседания, совещания у Заместителя Руководителя Аппарата Правительства Российской Федерации, в подразделении Аппарата Правительства Российской Федерации
DK00000050	 Протокол (выписка из протокола) заседания, совещания коллегии Военно-промышленной комиссии Российской Федерации
DK00000051	 Протокол (выписка из протокола) заседания, совещания у заместителя председателя коллегии Военно-промышленной комиссии Российской Федерации
DK00000052	 Протокол (стенограмма) заседания Правительства Российской Федерации
DK00000053	 Протокол (стенограмма) заседания Президиума Правительства Российской Федерации
DK00000054	 Протокол заседания (планы, отчеты, справки) рабочих групп и комиссий, создаваемых в Администрации Президента Российской Федерации
DK00000055	 Протокол заседания Государственного совета Российской Федерации, его президиума, рабочих групп и консультативной комиссии
DK00000056	 Протокол заседания, оперативного совещания Совета Безопасности Российской Федерации, его научного совета и межведомственных комиссий Совета Безопасности Российской Федерации
DK00000057	 Протокол заседания, совещания с участием Руководителя Администрации Президента Российской Федерации
DK00000058	 Протокол заседания, совещания, проводимого в подразделениях Администрации Президента Российской Федерации
DK00000059	 Протокол заседания совещательных и консультативных органов при Президенте Российской Федерации
DK00000060	 Протокол заседания, совещания и других мероприятий с участием Председателя Правительства Российской Федерации
DK00000061	 Протокол заседания, совещания и других мероприятий с участием Президента Российской Федерации
DK00000062	 Протокол заседания, совещания комиссий, организационных и проектных комитетов, рабочих групп, координационных советов, создаваемых при Правительстве Российской Федерации
DK00000063	 Протокол совещания 
DK00000064	 Протокол заседания, совещания у Заместителя Председателя Правительства Российской Федерации
DK00000065	 Протокол, выписка из протокола заседания совета Государственной Думы Федерального Собрания Российской Федерации
DK00000066	 Выписка из протокола заседания Правительства Российской Федерации
DK00000067	 Выписка из протокола заседания Президиума Правительства Российской Федерации
DK00000068	 Распоряжение Администрации Президента Российской Федерации
DK00000069	 Распоряжение Правительства Российской Федерации
DK00000070	 Распоряжение Председателя Государственной Думы Федерального Собрания Российской Федерации 
DK00000071	 Распоряжение Председателя Совета Федерации Федерального Собрания Российской Федерации 
DK00000072	 Распоряжение Президента Российской Федерации
DK00000073	 Резолюция Председателя Правительства Российской Федерации, Заместителя Председателя Правительства Российской Федерации
DK00000074	 Резолюция Председателя Правительства Российской Федерации, Заместителя Председателя Правительства Российской Федерации с возвратом входящего документа
DK00000075	 Решение коллегии Военно-промышленной комиссии Российской Федерации
DK00000076	 Служебное письмо Аппарата Правительства Российской Федерации, полномочных представителей Правительства Российской Федерации, государственного органа, органа исполнительной власти субъекта Российской Федерации, организации
DK00000077	 Служебное письмо структурных подразделений Аппарата Правительства Российской Федерации, государственного органа, органа исполнительной власти субъекта Российской Федерации
DK00000078	 Служебное письмо Председателя Правительства Российской Федерации, Заместителя Председателя Правительства Российской Федерации
DK00000079	 Сопроводительное письмо Аппарата Правительства Российской Федерации
DK00000080	 Стратегия, концепция и доктрины, утвержденные Президентом Российской Федерации
DK00000081	 Указ Президента Российской Федерации
DK00000082	 Указание Президента Российской Федерации
DK00000083	 Федеральные конституционные законы, федеральные законы (кодексы) Российской Федерации
DK00000084	 Экспертное заключение к заседанию Правительства Российской Федерации
DK00000085	 Экспертное заключение на проект правового акта (проект федерального конституционного закона, проект федерального закона, проект акта Президента Российской Федерации, проект акта Правительства Российской Федерации)
DK00000086	 Заключение на проект федеральных конституционных законов, федеральных законов (кодексов) Российской Федерации
DK00000087	 Материалы к проектам актов Президента Российской Федерации
DK00000088	 Материалы к проектам актов Правительства Российской Федерации
DK00000089	 Материалы к проектам федеральных конституционных законов, федеральных законов (кодексов) Российской Федерации
DK00000090	 Материалы к проектам официальных отзывов, поправок, заключений
DK00000091	 Материалы к проектам ведомственных актов, актов субъектов Российской Федерации
DK00000092	 Материалы Счетной палаты Российской Федерации о результатах проведенных контрольных и экспертно-аналитических мероприятий
DK00000093	 Ответ на письмо гражданина
DK00000000	 Другие виды документов
